step,train_mse,latent_rms,train_rel_l2,latent_dependence,heldout_codec_rel_l2
0.0,0.11039019140104453,0.00018260123033542186,1.0897275060415268,0.004418700933456421,0.8614909648895264
1.0,0.08119800650825103,0.0002781467337626964,,,
2.0,0.06910081649406088,0.0003861413279082626,,,
3.0,0.060363890214098825,0.0004702865262515843,,,
4.0,0.05521010737452242,0.0005757752223871648,,,
5.0,0.05221034446524249,0.0006911751115694642,,,
6.0,0.05020858746021986,0.0008326969109475613,,,
7.0,0.04941067455129491,0.000992922461591661,,,
8.0,0.04880495903392633,0.0011815748875960708,,,
9.0,0.048189661593900784,0.0013938489137217402,0.7711447551846504,,
10.0,0.04707449276828104,0.0016263436991721392,,,
11.0,0.0452203236727251,0.0018567908555269241,,,
12.0,0.04312273739526669,0.002032418269664049,,,
13.0,0.04377330005168915,0.002144879661500454,,,
14.0,0.041831234964645574,0.0022496653255075216,,,
15.0,0.039989537958883575,0.0023277366999536753,,,
16.0,0.03814377300234305,0.002433468820527196,,,
17.0,0.03734560265723202,0.002480921568349004,,,
18.0,0.03600878780293796,0.0025587561540305614,,,
19.0,0.03398013588041067,0.0025959108024835587,0.6709733381867409,,
20.0,0.03312351213768125,0.0026311695110052824,,,
21.0,0.03205031606472201,0.0026770615950226784,,,
22.0,0.031071326589832703,0.0026899436488747597,,,
23.0,0.03022288470218579,0.002710555447265506,,,
24.0,0.029380357700089614,0.002746787155047059,,,
25.0,0.028689170324554047,0.002808737801387906,,,
26.0,0.028261342317693762,0.0028447338845580816,,,
27.0,0.027932174665232498,0.002884246874600649,,,
28.0,0.027029452659189702,0.00290328124538064,,,
29.0,0.026204375295589367,0.00292279664427042,0.6033884063363075,,
30.0,0.02569985860130853,0.002935968805104494,,,
31.0,0.025278791930112572,0.00294516421854496,,,
32.0,0.025112145719014937,0.0029805144295096397,,,
33.0,0.025643960937029784,0.0030187855008989573,,,
34.0,0.025761373285204173,0.0030713211745023727,,,
35.0,0.02484109381213784,0.0031397375278174877,,,
36.0,0.0247764930418796,0.003143864218145609,,,
37.0,0.023697806110398636,0.0031700455583631992,,,
38.0,0.02325385467045837,0.003195713507011533,,,
39.0,0.02301449450560742,0.0031838121358305216,0.5450273789465427,,
40.0,0.022658333592116834,0.003210814669728279,,,
41.0,0.022494101739592022,0.0032606434542685747,,,
42.0,0.022580915552874406,0.003278272459283471,,,
43.0,0.02323181662087639,0.003337729023769498,,,
44.0,0.02292608714972933,0.0033734848257154226,,,
45.0,0.021973614217713475,0.003366052405908704,,,
46.0,0.021928034065705208,0.003389066783711314,,,
47.0,0.021757797557446692,0.0033932081423699856,,,
48.0,0.02163690639556282,0.003410255303606391,,,
49.0,0.021717594325956373,0.003431164426729083,0.5291074179112911,,
50.0,0.021999636532531845,0.0034662906546145678,,,
51.0,0.02188628766892685,0.0034875681158155203,,,
52.0,0.021402200519417724,0.003515452379360795,,,
