epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
1,1.995867082947179,2.6657566130161285,1578.40,53354,1578.40
2,2.0636023408488224,,14.73,52981,1593.13
3,2.017242563398261,,14.76,52773,1607.89
4,2.0024831483238623,,15.68,52485,1623.57
5,1.978179887721413,2.6950216591358185,14.80,52898,1638.37
6,1.9704264214164333,,14.74,52883,1653.11
7,2.0192378759384155,,14.57,52885,1667.68
8,1.9746819358122976,,14.28,52834,1681.96
9,1.97391855089288,,14.71,52824,1696.67
10,1.9623101134049266,2.65764719247818,17.94,52660,1714.60
11,1.9969188037671541,,15.33,52804,1729.93
12,2.009392110924972,,15.38,52848,1745.31
13,1.9296744308973615,,15.19,52791,1760.50
14,1.999569064692447,,14.34,52702,1774.85
15,2.0079913264826725,2.6088129580020905,14.91,52590,1789.76
16,1.939313907372324,,14.92,52711,1804.68
17,1.9561916087803088,,14.86,52493,1819.54
18,1.9716143231642873,,14.85,52827,1834.39
19,2.0087377272154154,,15.01,52640,1849.40
20,1.9737938893468756,2.653428554534912,14.97,52797,1864.37
21,1.9932533063386615,,14.57,52911,1878.94
22,2.0282342182962516,,15.12,52528,1894.06
23,2.020597451611569,,14.75,52816,1908.82
24,1.9801947192141884,,15.00,53068,1923.82
25,1.9837244184393632,2.6604911983013153,14.80,53133,1938.62
26,1.9902294936933016,,14.98,52749,1953.60
27,2.0019697515588057,,14.75,52729,1968.35
28,1.9908604119953357,,14.94,52606,1983.28
29,1.9828638277555768,,15.30,52785,1998.58
30,2.04437139787172,2.673733711242676,15.04,52664,2013.62
31,1.9795961129037958,,15.30,52774,2028.92
32,1.9921658666510331,,15.09,52815,2044.02
33,1.9373171894173873,,15.18,52649,2059.20
34,1.9180440526259572,,15.02,52931,2074.22
35,1.8558967238978337,2.29572194814682,14.81,52886,2089.03
36,1.8018759238092523,,14.79,52926,2103.82
37,1.834419470084341,,15.06,52594,2118.89
38,1.7557082489917153,,14.52,52666,2133.41
39,1.665237163242541,,14.77,52730,2148.18
40,1.6913028767234402,2.110075518488884,15.61,52607,2163.79
41,1.5822100890310187,,15.13,52581,2178.92
42,1.5377653523495323,,15.39,52684,2194.31
43,1.4823897512335527,,15.06,52857,2209.36
44,1.5006267208802073,,15.29,52805,2224.65
45,1.4261202310260974,1.6929036527872086,15.22,52926,2239.87
46,1.3763885686272068,,14.74,52891,2254.60
47,1.3711466287311755,,14.50,52667,2269.10
48,1.3804508384905363,,14.58,52725,2283.69
49,1.3552158945485164,,14.77,52804,2298.46
50,1.3727242821141292,1.5959183722734451,14.82,53213,2313.29
51,1.3595678178887618,,14.86,52884,2328.14
52,1.3506146543904354,,15.27,52700,2343.42
53,1.3321831163607145,,14.40,53003,2357.81
54,1.333693265914917,,15.19,52699,2373.00
55,1.3335693447213424,1.598687306046486,15.03,52815,2388.03
56,1.3294155158494647,,14.77,52964,2402.80
57,1.30459926002904,,15.01,53048,2417.81
58,1.321682290027016,,15.17,52869,2432.97
59,1.3253043074356883,,15.20,52743,2448.18
