epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
1,2.022245779633522,2.0106945037841797,1804.20,52937,1804.20
2,1.9689429253339767,,9.28,52647,1813.48
3,1.9950699359178543,,8.56,52660,1822.04
4,2.0344280004501343,,9.36,52482,1831.40
5,1.9976381063461304,2.010046680768331,9.65,52780,1841.05
6,2.0225130170583725,,9.17,52637,1850.22
7,1.9661850333213806,,9.10,52418,1859.32
8,1.9847847074270248,,8.22,52915,1867.54
9,1.9923380464315414,,9.02,52695,1876.57
10,1.9790922701358795,1.9496968587239583,8.34,52728,1884.90
11,2.0041375011205673,,9.46,52689,1894.36
12,2.0484933108091354,,9.14,52598,1903.50
13,2.0277188271284103,,8.80,52183,1912.30
14,1.9402947276830673,,8.69,52959,1920.99
15,1.8788304775953293,1.8675530354181926,8.57,53091,1929.56
16,1.905997633934021,,8.82,52614,1938.39
17,1.8607154041528702,,8.32,52639,1946.71
18,1.8305206596851349,,8.52,52358,1955.23
19,1.7455241978168488,,8.94,52467,1964.17
20,1.764484003186226,1.7265051205952961,9.10,52455,1973.27
21,1.788164496421814,,8.50,52981,1981.77
22,1.7425337731838226,,8.79,52457,1990.55
23,1.8094162791967392,,8.27,53072,1998.83
24,1.7184377312660217,,8.19,52892,2007.02
25,1.812905728816986,1.7126268943150837,8.50,52569,2015.51
26,1.866015538573265,,8.70,52593,2024.22
27,1.8210169821977615,,9.11,52831,2033.32
28,1.7273536175489426,,8.76,52747,2042.09
29,1.7439446300268173,,9.27,52595,2051.36
30,1.8153988867998123,1.6880998214085896,8.38,52577,2059.74
31,1.7326419353485107,,9.17,52631,2068.91
32,1.760911077260971,,9.13,52668,2078.05
33,1.7510700076818466,,9.38,52546,2087.42
34,1.6789883226156235,,9.35,52844,2096.77
35,1.74916972219944,1.6400618155797322,8.97,53070,2105.74
36,1.7237944900989532,,8.64,52425,2114.38
37,1.6874373704195023,,9.04,52672,2123.42
38,1.6890344470739365,,9.44,52529,2132.86
39,1.6762301921844482,,9.30,52532,2142.16
40,1.5917288959026337,1.5851065715154011,9.49,52540,2151.65
41,1.5617288500070572,,9.37,52376,2161.02
42,1.6090145856142044,,8.75,52209,2169.76
43,1.5579342693090439,,9.60,52697,2179.36
44,1.5893130451440811,,9.31,52737,2188.67
45,1.4940849244594574,1.529879053433736,9.71,52827,2198.38
46,1.5122226774692535,,9.24,52740,2207.62
47,1.5168144553899765,,15.63,52575,2223.24
48,1.4317598193883896,,9.75,52606,2232.99
49,1.4541467875242233,,9.95,52541,2242.94
