epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
4896,0.6364455968141556,,1415.97,52987,1415.97
4897,0.6436453238129616,,7.67,53763,1423.65
4898,0.6626181378960609,,6.97,53426,1430.61
4899,0.6207419112324715,,7.11,53427,1437.72
4900,0.665474034845829,0.8930931687355042,7.68,53224,1445.39
4901,0.6558847725391388,,7.67,52742,1453.07
4902,0.6448871865868568,,6.98,52228,1460.05
4903,0.6442908421158791,,7.22,52843,1467.27
4904,0.6681478247046471,,7.41,52582,1474.69
4905,0.6420761123299599,0.9349013566970825,7.22,52680,1481.90
4906,0.6710004657506943,,7.75,52728,1489.66
4907,0.657691054046154,,7.37,52670,1497.03
4908,0.6251488849520683,,7.66,52199,1504.68
4909,0.6215785481035709,,7.44,52372,1512.12
4910,0.6566538214683533,0.8730338414510092,6.85,52802,1518.97
4911,0.6082172319293022,,7.61,52351,1526.57
4912,0.6525727957487106,,7.16,52570,1533.73
4913,0.6220841407775879,,6.86,52338,1540.59
4914,0.6084304973483086,,7.43,52405,1548.02
4915,0.6139407232403755,0.8987311124801636,7.17,52910,1555.19
4916,0.6093525439500809,,7.15,52868,1562.34
4917,0.6365552097558975,,7.35,52467,1569.69
4918,0.6425175741314888,,7.42,52946,1577.11
4919,0.6716258004307747,,7.27,52674,1584.38
4920,0.6650079041719437,0.9723280072212219,7.42,52759,1591.80
4921,0.6318625584244728,,7.55,52519,1599.35
4922,0.6481048837304115,,7.70,52331,1607.05
4923,0.6311355382204056,,7.57,52875,1614.63
4924,0.6558238863945007,,7.52,52582,1622.15
4925,0.6544424593448639,0.9344309369723002,7.22,52626,1629.38
4926,0.6513888165354729,,7.80,52847,1637.17
4927,0.633631456643343,,11.17,52582,1648.35
4928,0.6358973607420921,,7.06,52632,1655.40
4929,0.6198501214385033,,7.42,52836,1662.82
4930,0.6653615087270737,0.8952265381813049,7.64,52959,1670.45
4931,0.5917406678199768,,7.38,52223,1677.83
4932,0.6647265627980232,,7.73,52666,1685.56
4933,0.6687894016504288,,7.72,52633,1693.28
4934,0.6535518765449524,,7.01,52523,1700.29
4935,0.6345830336213112,0.8986921509106954,7.06,52480,1707.35
4936,0.6316775307059288,,7.48,52549,1714.83
4937,0.7251230999827385,,7.56,52382,1722.39
4938,0.6089746430516243,,7.75,52703,1730.14
