epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
1,2.0263428596349864,3.241964340209961,1341.93,25151,1341.93
2,2.010799527168274,,7.51,24599,1349.43
3,1.983025468312777,,7.62,24589,1357.05
4,1.9766360429617076,,7.28,24489,1364.33
5,1.9365532673322237,3.07362961769104,6.95,24605,1371.28
6,1.8560663828482995,,7.23,24430,1378.51
7,1.7835354071397047,,7.50,24648,1386.01
8,1.6727943878907423,,7.67,24160,1393.68
9,1.5771374243956346,,7.37,25077,1401.05
10,1.5047269692787757,2.7642831802368164,7.35,24554,1408.40
11,1.444924730520982,,7.14,25221,1415.54
12,1.410939831000108,,8.18,24636,1423.72
13,1.3448221958600557,,8.45,24923,1432.18
14,1.3089171281227698,,8.32,24660,1440.49
15,1.2552837270956774,2.3445308208465576,8.64,24803,1449.14
16,1.218805844967182,,8.09,24520,1457.23
17,1.1943428149590125,,8.74,24615,1465.98
18,1.1858093234208913,,7.30,24687,1473.28
19,1.1273657496158893,,7.97,24552,1481.25
20,1.1030848897420442,1.9263216853141785,7.32,24452,1488.57
21,1.0491309395203223,,7.72,24924,1496.29
22,1.006250262260437,,7.00,24339,1503.29
23,0.9771115550628076,,7.03,24353,1510.31
24,0.931305087529696,,7.25,24120,1517.57
25,0.9499920010566711,1.8535805344581604,10.33,24871,1527.90
26,0.885520692055042,,7.34,25021,1535.24
27,0.9129149042643033,,7.23,25069,1542.48
28,0.8489853143692017,,7.57,24445,1550.05
29,0.8433167751018817,,7.48,24575,1557.53
30,0.79063297693546,1.4347357153892517,7.19,24199,1564.72
31,0.782175247485821,,7.94,24583,1572.66
32,0.7496531422321613,,7.80,24273,1580.46
33,0.7004837623009315,,7.80,24938,1588.25
34,0.7176180917483109,,7.87,24285,1596.12
35,0.7253956748889043,1.273489534854889,7.29,24787,1603.41
36,0.6560446390738854,,8.16,24997,1611.56
37,0.7046133509049048,,7.34,24769,1618.91
38,0.6679295370211968,,7.48,24727,1626.39
39,0.6712770966383127,,7.38,24818,1633.76
40,0.6938613790732163,1.2197850942611694,7.49,24734,1641.25
41,0.6651208813373859,,7.45,24072,1648.71
42,0.6703904271125793,,7.32,24502,1656.02
43,0.6804643731850845,,7.62,24757,1663.65
44,0.6549771611507123,,7.37,24063,1671.01
45,0.6461453621204083,1.0292018055915833,8.05,24452,1679.06
46,0.6570367538011991,,8.36,24570,1687.42
47,0.6535802735732152,,8.80,24336,1696.22
48,0.6454297946049616,,9.00,24534,1705.22
49,0.6261548147751734,,7.98,25202,1713.20
50,0.6375315556159387,1.0469461679458618,8.19,25066,1721.39
51,0.641523723418896,,7.45,24476,1728.84
52,0.5921222154910748,,7.11,24543,1735.96
53,0.6417391529450049,,7.28,24280,1743.23
54,0.6120779743561378,,6.98,25040,1750.22
55,0.6082315697119787,1.0919673442840576,7.48,25184,1757.70
56,0.6003436881762284,,7.58,24871,1765.28
57,0.6013577534602239,,7.29,24809,1772.57
58,0.5915077145283039,,7.16,24284,1779.73
59,0.6109447983595041,,7.14,24353,1786.87
60,0.5759307398245885,1.1041743457317352,7.44,24877,1794.31
61,0.5722710100504068,,7.71,24774,1802.02
62,0.6509338709024283,,7.17,24680,1809.19
63,0.5914535041038806,,7.31,24962,1816.50
64,0.5877279318295993,,7.52,24499,1824.02
65,0.591231481387065,0.8811814785003662,7.83,24793,1831.85
66,0.5719291246854342,,7.74,25193,1839.59
67,0.5692652005415696,,7.89,24631,1847.48
68,0.5652070595667913,,7.82,24335,1855.30
69,0.5604474406975967,,7.82,24891,1863.12
70,0.5686703668190882,1.0672198832035065,7.49,24614,1870.61
71,0.6033006654335902,,7.99,24675,1878.60
72,0.5870005144522741,,7.45,24695,1886.05
73,0.5753864141610953,,7.37,24271,1893.41
74,0.5810623856691214,,7.35,24323,1900.77
75,0.5785699440882757,0.9979923069477081,7.36,24511,1908.12
76,0.5528700695588038,,7.52,24545,1915.64
77,0.5581686703058389,,7.03,24560,1922.67
78,0.5711068648558396,,7.21,24587,1929.88
79,0.5349330810400156,,7.25,24544,1937.13
80,0.5386948035313532,1.040913611650467,7.63,24827,1944.76
81,0.5133349505754617,,8.21,25093,1952.96
82,0.5389238550112798,,8.80,24430,1961.76
83,0.5603000200711764,,8.06,24922,1969.82
84,0.523181860263531,,8.29,24348,1978.11
85,0.5321747591862311,1.0223192870616913,8.27,24999,1986.38
86,0.5399631399374741,,7.98,24983,1994.36
87,0.5166098865178915,,7.84,25429,2002.19
88,0.5437782521431263,,7.51,24906,2009.71
89,0.5279110807638902,,7.45,24911,2017.15
90,0.5133963020948263,0.9760304689407349,7.44,24644,2024.59
91,0.556576132774353,,7.18,24878,2031.77
92,0.5029375438506787,,7.01,24697,2038.78
93,0.5349778143259195,,7.84,24511,2046.62
94,0.514577546944985,,7.38,24427,2054.00
95,0.522396981716156,0.9936705529689789,7.65,24574,2061.65
96,0.5320041179656982,,7.58,24709,2069.23
97,0.5145207322560824,,7.45,25116,2076.69
98,0.5195882205779736,,7.42,24897,2084.10
99,0.4952095884543199,,7.25,24542,2091.36
100,0.5025683733133169,0.9671831429004669,7.68,23924,2099.04
101,0.5134348135728103,,7.21,24829,2106.25
102,0.5037333162931296,,7.64,24487,2113.89
103,0.48110271187929005,,7.65,25068,2121.53
104,0.5089555038855627,,7.50,24752,2129.04
105,0.5136340306355403,0.8412980437278748,7.62,24300,2136.66
106,0.49502571729513317,,7.82,24645,2144.48
