epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
1181,0.4222944791500385,,1286.20,25201,1286.20
1182,0.403379697066087,,7.91,24306,1294.11
1183,0.41946356342389035,,8.51,24938,1302.62
1184,0.4232882960484578,,8.42,24720,1311.04
1185,0.4136680456308218,0.7318047881126404,7.94,24725,1318.98
1186,0.40101980704527634,,9.74,24576,1328.72
1187,0.3864391938998149,,8.92,24575,1337.64
1188,0.409206890142881,,9.20,24438,1346.84
1189,0.4119831988444695,,9.24,24728,1356.08
1190,0.40824573315106905,0.7040917277336121,9.21,24535,1365.29
1191,0.40795150857705337,,9.49,24985,1374.78
1192,0.40320321688285243,,9.27,24442,1384.05
1193,0.40376222821382374,,9.03,24793,1393.09
1194,0.4085946724965022,,8.65,24321,1401.73
1195,0.4008272679952475,0.7769979238510132,9.12,24853,1410.85
1196,0.4112433676536267,,8.94,24366,1419.80
1197,0.3981739832804753,,9.05,24852,1428.85
1198,0.3918531078558702,,8.90,24378,1437.75
1199,0.41104389841739947,,9.19,24340,1446.93
1200,0.41209357289167553,0.6746435165405273,8.63,24536,1455.56
1201,0.3898696085581413,,11.71,24955,1467.27
1202,0.4215688361571385,,10.83,24363,1478.10
1203,0.4117674965124864,,10.72,24378,1488.82
1204,0.4239626962404985,,10.86,24145,1499.68
1205,0.40856683483490575,0.676324725151062,10.55,24895,1510.23
1206,0.40009870437475353,,11.49,25046,1521.72
1207,0.4114282268744249,,10.68,25094,1532.41
1208,0.4037941407698851,,10.18,24470,1542.59
1209,0.4088497207714961,,10.34,24600,1552.93
1210,0.4080792161134573,0.7616366744041443,10.60,24224,1563.53
1211,0.3940486770409804,,11.14,24608,1574.67
1212,0.4003594357233781,,10.39,24799,1585.06
1213,0.3890948754090529,,10.35,24670,1595.41
1214,0.4036050576430101,,9.66,24309,1605.07
1215,0.39667290907639724,0.665288120508194,10.01,24812,1615.08
1216,0.4150652266465701,,10.38,25028,1625.47
1217,0.40693021966860843,,9.56,24794,1635.03
1218,0.40115232880298907,,10.20,24752,1645.23
1219,0.3986576245381282,,10.25,24842,1655.48
1220,0.4056159785160652,0.7890001237392426,10.09,24759,1665.56
1221,0.4120621360265292,,10.46,24097,1676.03
1222,0.40303572897727674,,9.81,24527,1685.83
1223,0.4013513899766482,,10.10,24788,1695.94
1224,0.4210618230012747,,10.44,24088,1706.37
1225,0.40069465453808123,0.7735951840877533,9.69,24477,1716.06
1226,0.4058937132358551,,9.71,24595,1725.77
1227,0.42823959772403425,,9.79,24361,1735.57
1228,0.4080249277444986,,9.76,24559,1745.32
1229,0.42268167779995847,,10.22,24314,1755.55
1230,0.41456785110326916,0.7185975015163422,9.88,25097,1765.42
1231,0.42000714861429655,,10.07,24501,1775.49
1232,0.39032131891984206,,9.42,24568,1784.91
1233,0.42561843074285066,,9.55,24305,1794.45
1234,0.3778108129134545,,10.03,25065,1804.48
1235,0.39894070762854356,0.831840842962265,9.72,25214,1814.20
1236,0.4023780490343387,,9.71,24901,1823.91
1237,0.3981429017507113,,9.51,24834,1833.43
1238,0.42627956775518566,,9.30,24309,1842.72
1239,0.41153205587313724,,9.86,24378,1852.58
1240,0.40931201439637405,0.7794325947761536,9.45,24902,1862.03
1241,0.41374350167237794,,9.75,24799,1871.78
1242,0.4013950572564052,,9.20,24711,1880.98
1243,0.410044048841183,,9.24,24987,1890.22
1244,0.39021968383055466,,9.80,24524,1900.02
1245,0.4139149968440716,0.7626800835132599,9.54,24818,1909.57
1246,0.405500774200146,,9.67,25218,1919.24
1247,0.41178651268665606,,9.58,24655,1928.82
1248,0.3969730196090845,,9.47,24360,1938.29
1249,0.4092622491029593,,9.28,24916,1947.57
1250,0.40058746475439805,0.7273550033569336,9.39,24639,1956.96
1251,0.4070397661282466,,9.57,24700,1966.53
1252,0.3999731999177199,,9.73,24720,1976.26
1253,0.39763646630140453,,9.85,24296,1986.11
1254,0.40125466539309573,,9.81,24348,1995.93
1255,0.38648393062444836,0.6651031076908112,9.73,24536,2005.65
1256,0.39807474269316745,,9.03,24570,2014.69
1257,0.39787428081035614,,8.86,24585,2023.54
1258,0.4331841789759122,,9.92,24617,2033.46
1259,0.39984001563145566,,9.79,24569,2043.25
1260,0.39696696859139663,0.8079081475734711,9.28,24851,2052.54
1261,0.39506789354177624,,9.83,25117,2062.37
1262,0.4189629485973945,,9.32,24455,2071.69
1263,0.4266131313947531,,9.05,24947,2080.74
1264,0.43915902422024655,,9.61,24373,2090.35
1265,0.3982851298955771,0.7727551758289337,9.18,25023,2099.53
1266,0.40152713427176845,,9.10,25008,2108.63
1267,0.4094672225988828,,9.59,25454,2118.22
1268,0.41430068474549514,,9.29,24931,2127.50
1269,0.4006260518844311,,9.06,24936,2136.56
1270,0.3987159419518251,0.7763477265834808,9.45,24694,2146.01
1271,0.42165536146897536,,9.06,24903,2155.07
1272,0.408470277602856,,9.30,24722,2164.37
1273,0.39194231308423555,,8.89,24535,2173.26
1274,0.42781830063233006,,9.27,24451,2182.53
1275,0.4070523243684035,0.7617422342300415,9.10,24599,2191.64
1276,0.4164765729353978,,9.31,24734,2200.95
1277,0.4088963476511148,,9.60,25141,2210.55
1278,0.41113497889958894,,9.56,24922,2220.10
1279,0.4227312940817613,,8.87,24567,2228.97
1280,0.4017603855866652,0.7504605948925018,9.05,24488,2238.02
1281,0.3867524747665112,,9.28,24478,2247.30
1282,0.39976052596018863,,9.51,24593,2256.81
1283,0.389974791270036,,9.44,24667,2266.25
1284,0.4220186173915863,,9.05,24777,2275.29
1285,0.392341843018165,0.7393750846385956,9.12,24325,2284.42
1286,0.4179847309222588,,9.20,24670,2293.61
1287,0.4106815801217006,,8.90,24227,2302.51
1288,0.415593683719635,,9.26,24790,2311.77
1289,0.42013833155998814,,9.24,24706,2321.01
1290,0.43433645826119643,0.6682145595550537,9.35,24437,2330.36
1291,0.4096724115885221,,9.16,24942,2339.52
1292,0.39851914002345157,,9.03,24344,2348.55
1293,0.41104289430838364,,9.53,24557,2358.08
1294,0.3972948101850656,,9.14,24680,2367.22
1295,0.40381133556365967,0.6765666604042053,9.20,24689,2376.43
1296,0.4142492849093217,,9.45,24775,2385.87
1297,0.4044036315037654,,9.44,25313,2395.32
1298,0.41423970460891724,,9.71,24594,2405.03
1299,0.4089002013206482,,9.57,24596,2414.60
1300,0.41015069301311785,0.6960089802742004,9.51,24604,2424.10
1301,0.4201376965412727,,9.67,24503,2433.77
1302,0.4139181421353267,,9.25,24395,2443.01
1303,0.39074723307903,,9.59,24612,2452.61
1304,0.3929082407401158,,9.66,24694,2462.27
1305,0.4133759576540727,0.6849879324436188,8.92,24363,2471.18
1306,0.4104838783924396,,9.35,24949,2480.53
1307,0.411932287307886,,9.15,24486,2489.68
1308,0.39056745859292835,,9.33,24460,2499.01
1309,0.39579270894710833,,9.19,24729,2508.20
1310,0.40963848049824053,0.7316690981388092,9.42,24492,2517.62
1311,0.4220700195202461,,9.23,24721,2526.85
1312,0.4329259189275595,,9.22,24933,2536.07
1313,0.4048609183384822,,9.61,25037,2545.68
1314,0.40513881009358627,,9.83,24285,2555.51
1315,0.4061344678585346,0.7698792219161987,10.00,24240,2565.52
1316,0.40862223505973816,,9.35,24640,2574.87
1317,0.4114262576286609,,9.23,24719,2584.10
1318,0.4154699926192944,,8.93,24508,2593.03
1319,0.4153729837674361,,9.50,24599,2602.53
1320,0.4046748188825754,0.7425506412982941,9.15,24842,2611.68
1321,0.4100487782404973,,9.24,24762,2620.91
1322,0.4038602916093973,,9.30,25155,2630.21
1323,0.401500050838177,,9.23,24761,2639.45
1324,0.38923922181129456,,9.21,24132,2648.65
1325,0.40842240361066967,0.6956217288970947,10.03,24881,2658.69
1326,0.41474955127789426,,10.16,24500,2668.85
1327,0.4191528581655942,,9.94,24825,2678.79
1328,0.40067898768645066,,12.26,24492,2691.05
1329,0.4128291377654442,,11.02,24806,2702.07
1330,0.4107951384324294,0.6865864098072052,10.91,24699,2712.98
1331,0.4102935286668631,,11.69,24567,2724.67
1332,0.43251471565319943,,11.35,24652,2736.02
1333,0.3980025671995603,,10.63,24286,2746.65
1334,0.3881855354859279,,11.22,24843,2757.87
1335,0.388320831152109,0.7368708848953247,11.21,24760,2769.08
1336,0.4259900817504296,,11.16,24257,2780.24
1337,0.4159846672644982,,9.26,24916,2789.50
1338,0.415739880158351,,9.06,24593,2798.56
1339,0.4195374846458435,,9.36,24472,2807.92
1340,0.4063797570191897,0.6915768384933472,9.24,24658,2817.16
1341,0.39947434113575864,,9.25,24425,2826.41
1342,0.3885209789642921,,9.14,25035,2835.55
1343,0.440090699837758,,9.24,24564,2844.79
1344,0.42665603986153233,,8.93,24208,2853.71
1345,0.4161320855984321,0.8231532573699951,9.33,25110,2863.04
1346,0.4152847711856549,,9.19,24317,2872.23
1347,0.4024842014679542,,9.32,24450,2881.55
1348,0.4174786049586076,,9.30,25027,2890.85
1349,0.3824116335465358,,8.53,24657,2899.37
1350,0.4137880618755634,0.7729116082191467,8.93,24624,2908.30
1351,0.425251855300023,,9.12,24641,2917.42
1352,0.39681031612249523,,9.14,25011,2926.56
1353,0.4075079422730666,,8.96,25076,2935.52
1354,0.4044018089771271,,9.13,24546,2944.65
1355,0.41091208962293774,0.664959579706192,9.34,24487,2953.99
1356,0.4063653487425584,,8.88,24930,2962.87
1357,0.3941106074131452,,8.97,24391,2971.84
1358,0.4247586658367744,,9.41,24452,2981.25
1359,0.39764076929826003,,9.70,24555,2990.95
1360,0.41227940641916716,0.7458889484405518,8.97,24453,2999.92
1361,0.4140627086162567,,9.57,24976,3009.49
1362,0.42263280428372896,,9.09,25386,3018.57
1363,0.4207866902534778,,8.88,24120,3027.45
1364,0.4043535636021541,,8.75,24463,3036.20
1365,0.39999955663314235,0.6557643413543701,9.24,24703,3045.44
1366,0.41231411695480347,,9.36,24686,3054.80
1367,0.41243388331853426,,8.98,24501,3063.78
1368,0.40111710933538586,,9.00,24448,3072.79
1369,0.40526856825901914,,9.13,24782,3081.92
1370,0.4329546025166145,0.7801331579685211,9.38,24706,3091.30
1371,0.4125332786486699,,9.08,24451,3100.38
1372,0.4114951514280759,,8.61,24931,3108.99
1373,0.4041525927873758,,9.03,24478,3118.02
1374,0.40226718324881333,,9.16,24812,3127.18
1375,0.4109588609291957,0.830189436674118,9.32,24419,3136.50
1376,0.4047905504703522,,9.56,24645,3146.06
1377,0.4116463615344121,,9.30,24716,3155.36
1378,0.4117303307239826,,9.24,24742,3164.60
1379,0.41138204015218294,,9.21,24969,3173.81
1380,0.408374907878729,0.6801612079143524,9.11,24689,3182.92
1381,0.40513108785335833,,9.18,24765,3192.10
1382,0.40753215780624974,,9.41,25000,3201.52
1383,0.41149974786318266,,8.97,24652,3210.48
1384,0.3925097699348743,,9.50,24569,3219.99
1385,0.38763009355618405,0.8139650225639343,9.37,24829,3229.36
1386,0.4108068851324228,,9.35,24568,3238.72
1387,0.40262162685394287,,9.23,24466,3247.95
1388,0.42266470881608814,,9.07,24943,3257.02
1389,0.40934935899881214,,8.85,24803,3265.87
1390,0.40036699175834656,0.6867493391036987,9.46,24523,3275.34
1391,0.40785113206276524,,9.17,24957,3284.50
1392,0.38324274810460895,,9.22,25054,3293.73
1393,0.42460817098617554,,9.44,24542,3303.16
1394,0.41111668944358826,,9.46,25081,3312.62
1395,0.40972678707196164,0.7383977174758911,9.12,24563,3321.74
1396,0.4056418790267064,,9.05,24955,3330.79
1397,0.39408421974915725,,9.35,24446,3340.14
1398,0.4014505400107457,,9.06,24678,3349.20
1399,0.38718981926257795,,9.22,24733,3358.42
1400,0.38688969153624314,0.7858962714672089,9.71,24781,3368.13
1401,0.39157068270903367,,9.17,24409,3377.30
1402,0.38541309650127703,,8.72,24529,3386.02
1403,0.4193095839940585,,9.14,24568,3395.16
1404,0.40817880859741795,,8.98,24506,3404.14
1405,0.4129003125887651,0.7267171442508698,8.61,25016,3412.74
1406,0.39732937400157636,,9.05,24379,3421.79
1407,0.402948049398569,,9.16,24348,3430.95
1408,0.4114256501197815,,8.79,24343,3439.74
1409,0.42448204297285813,,8.97,24957,3448.71
1410,0.40123378772002,0.6933764517307281,8.83,24363,3457.54
1411,0.4112208072955792,,8.88,24281,3466.42
1412,0.38509776385930866,,9.09,24318,3475.51
1413,0.39492900096453154,,9.42,24567,3484.93
1414,0.4052742811349722,,9.47,24399,3494.40
1415,0.4062648323866037,0.7940353751182556,9.36,24943,3503.76
1416,0.4034548745705531,,9.22,24967,3512.99
1417,0.4046649428514334,,9.26,24464,3522.24
1418,0.41976045415951657,,9.12,24557,3531.37
1419,0.4088604496075557,,9.32,24248,3540.69
1420,0.4018598244740413,0.6716594696044922,8.82,24742,3549.51
1421,0.38978631565204036,,9.12,25121,3558.63
1422,0.40521209515058076,,9.42,24834,3568.06
1423,0.4061778806723081,,9.03,24469,3577.09
1424,0.395218558036364,,9.41,24895,3586.49
1425,0.39976585140595067,0.800586611032486,8.99,24491,3595.48
1426,0.39181915613321155,,9.42,24820,3604.91
1427,0.40348953008651733,,8.75,24710,3613.66
1428,0.4034999998716208,,8.73,24785,3622.39
1429,0.4035066389120542,,9.00,24464,3631.39
1430,0.40688228836426366,0.7329341173171997,8.90,24731,3640.29
1431,0.4024538810436542,,9.17,24680,3649.46
1432,0.3923717771585171,,9.00,24556,3658.46
1433,0.40214908810762257,,9.15,24818,3667.62
1434,0.3984251343286954,,9.30,24570,3676.91
1435,0.40771966026379514,0.728534072637558,8.76,24703,3685.68
1436,0.4124116530785194,,9.20,25080,3694.87
1437,0.4035746982464424,,8.75,24520,3703.62
1438,0.41822637159090775,,8.79,25052,3712.41
1439,0.3985119370313791,,8.66,24210,3721.07
1440,0.3996508534138019,0.7497472763061523,9.13,24769,3730.20
1441,0.4025933811297783,,9.20,24559,3739.40
1442,0.3880920135057889,,9.49,24972,3748.89
1443,0.41074952941674453,,9.51,24272,3758.40
1444,0.4123930220420544,,9.44,24920,3767.84
1445,0.41197208716319156,0.7402614951133728,9.40,24888,3777.24
